#{"t_start": 1622666921.248959, "env_id": null}
r,l,t
73.938769,16,650.359339
88.936515,17,651.712719
73.737321,15,652.912454
29.423612,6,653.385861
80.868523,16,654.657483
54.245709,12,655.613405
60.243213,11,656.53497
49.094753,10,657.325427
44.327043,9,658.056015
39.382888,9,658.771978
49.198891,10,659.581427
69.183171,15,660.784924
34.332519,8,661.424632
39.441871,9,662.148818
64.065561,14,663.275254
74.066431,16,664.563231
84.696763,17,665.930326
82.547445,16,667.214443
73.060632,14,668.316995
76.605236,14,669.477764
54.24263,12,670.454307
39.392592,8,671.09034
62.835071,11,671.984378
74.062031,16,673.261669
34.352344,7,673.82514
65.909801,13,674.856976
79.970308,14,675.993427
71.614405,13,677.03257
78.771189,16,678.321954
73.725232,13,679.389308
49.206778,10,680.221614
39.390155,9,680.933079
118.325437,24,682.902553
70.433285,13,683.938974
83.932596,16,685.236807
66.874653,13,686.27951
34.413966,7,686.850637
45.318842,9,687.613255
82.502592,14,688.708997
90.05978,17,690.041883
57.419654,12,690.994756
34.460418,8,691.648523
54.371484,12,692.624702
54.216123,12,693.583255
44.174836,9,694.320545
49.219715,10,695.148304
65.2146,13,696.19712
44.339998,10,696.994334
64.241495,14,698.125517
63.987101,13,699.151209
34.358808,7,699.72436
34.493189,8,700.362536
34.506467,8,700.991518
39.401835,9,701.698368
50.461756,7,702.276274
54.299215,12,703.234976
59.281406,13,704.309887
79.924044,16,705.587264
44.317638,9,706.297841
34.48992,8,706.938413
51.353186,10,707.723346
49.346337,11,708.586509
44.429656,10,709.360507
88.591156,18,710.785462
58.571489,12,711.728377
29.396736,6,712.212834
34.429174,7,712.77134
34.368909,7,713.331785
73.82058,14,714.460595
63.950616,13,715.49017
49.356416,11,716.355917
54.400231,11,717.206764
48.485041,9,717.910436
83.837076,17,719.269864
53.926852,10,720.057333
64.161771,13,721.057214
39.309573,8,721.701316
39.379379,8,722.332127
44.296516,9,723.064062
62.630017,11,723.934171
63.453738,12,724.876163
39.361903,9,725.596574
34.560847,8,726.230971
83.913595,18,727.646209
44.281181,9,728.372642
104.294233,17,729.72246
49.275716,11,730.565892
87.570628,17,731.98072
87.643848,16,733.228713
83.597799,17,734.548362
53.603989,11,735.414523
49.157266,10,736.196994
44.138343,9,736.892349
44.253619,10,737.681877
53.084736,10,738.4704
29.425052,6,738.948313
54.291839,12,739.904383
44.324202,9,740.633
39.438782,9,741.351237
